Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,100,300,200,2025-05-05
2,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,150,250,200,2025-05-05
3,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,150,250,200,2025-05-05
4,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,200,300,250,2025-05-05
5,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,200,300,300,2025-05-05
6,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,200,400,300,2025-05-05
7,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,200,400,300,2025-05-05
8,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,200,600,500,2025-05-05
9,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,200,664,500,2025-05-05
10,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,240,250,245,2025-05-05
11,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,250,250,250,2025-05-06
12,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,250,250,250,2025-05-06
13,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,250,250,250,2025-05-06
14,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,250,250,250,2025-05-06
15,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,250,290,280,2025-05-06
16,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,250,350,300,2025-05-06
17,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,290,800,700,2021-05-06
18,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,300,350,325,2021-05-06
19,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,300,350,325,2021-05-06
20,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,300,350,325,2021-05-06
21,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,300,400,350,2021-05-06
22,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,300,450,400,2021-05-06
23,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,300,450,400,2021-05-06
24,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,300,450,400,2025-05-20
25,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,300,500,400,2025-05-22
26,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,300,600,400,2021-05-14
27,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,300,600,500,2021-05-14
28,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,300,665,550,2021-05-14
29,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,300,700,300,2021-05-14
30,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,300,700,500,2021-05-14
31,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,300,700,500,2021-05-14
32,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,300,750,600,2021-05-14
33,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,300,800,700,2021-05-14
34,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,320,800,700,2021-05-14
35,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,340,790,510,2021-05-14
36,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,340,836,605,2021-05-14
37,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,350,744,650,2021-05-14
38,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,350,770,540,2021-05-14
39,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,350,770,550,2021-05-14
40,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,350,860,700,2021-05-05
41,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,360,560,400,2021-05-05
42,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,360,800,590,2021-05-05
43,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,360,900,800,2021-05-05
44,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,500,450,2021-05-15
45,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,500,450,2025-05-24
46,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,500,450,2025-05-25
47,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,500,450,2025-05-26
48,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,550,500,2025-05-26
49,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,550,500,2021-05-23
50,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,600,500,2021-05-23
51,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,600,500,2021-05-23
52,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,600,500,2021-05-26
53,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,600,500,2025-05-28
54,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,600,500,2025-05-28
55,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,700,500,2025-05-28
56,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,700,500,2025-05-28
57,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,780,680,2025-05-28
58,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,800,600,2025-05-28
59,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,800,600,2021-05-17
60,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,800,600,2021-05-17
61,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,810,650,2021-05-17
62,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,400,830,615,2021-05-17
63,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,440,700,600,2021-05-17
64,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,450,500,500,2021-05-17
65,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,450,900,625,2021-05-17
66,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,450,900,800,2021-05-17
67,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,490,870,570,2021-05-17
68,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,500,540,520,2021-05-17
69,Hoshiarpur,Hoshiarpur,Potato,Other,FAQ,500,650,600,2021-05-17
